metric,bytes,key,value
calls_per_byte,1000000,memory,0.000194
calls_per_byte,1000000,file_io,4.8e-05
calls_per_byte,1000000,other,3e-05
calls_per_byte,1000000,sync,1e-05
calls_per_byte,1000000,control_io,1e-06
calls_per_byte,5000000,memory,3.88e-05
calls_per_byte,5000000,file_io,9.6e-06
calls_per_byte,5000000,other,6e-06
calls_per_byte,5000000,sync,1.8e-06
calls_per_byte,5000000,control_io,2e-07
calls_per_byte,10000000,memory,1.94e-05
calls_per_byte,10000000,file_io,4.8e-06
calls_per_byte,10000000,other,3e-06
calls_per_byte,10000000,sync,1e-06
calls_per_byte,10000000,control_io,1e-07
usec_per_byte,1000000,sync,1.509661
usec_per_byte,1000000,memory,0.012708
usec_per_byte,1000000,other,0.002387
usec_per_byte,1000000,file_io,0.001334
usec_per_byte,1000000,control_io,1.1e-05
usec_per_byte,5000000,sync,0.2353076
usec_per_byte,5000000,memory,0.0019506
usec_per_byte,5000000,file_io,0.0002016
usec_per_byte,5000000,other,0.0001804
usec_per_byte,5000000,control_io,2.78e-05
usec_per_byte,10000000,sync,0.1407721
usec_per_byte,10000000,memory,0.0020494
usec_per_byte,10000000,file_io,0.0001683
usec_per_byte,10000000,other,6.42e-05
usec_per_byte,10000000,control_io,0.0
