run,be_phase_types,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
axis_lc_vs_1_be_long_r1,BE_LONG_BATCH,1,50,50,169.9618454,163.00177,297.6532319999994,484.55526153999995,487.005288,85.000923,76.80537250522843,8498.09227,9734.105689,5.136578705581795,5.136578705581795
axis_lc_vs_1_be_long_r2,BE_LONG_BATCH,1,50,50,155.24168554,171.0018565,177.55192805000001,179.02194422000002,180.001955,118.001281,24.106794001453306,7762.084277,7918.085971,6.314657378452957,6.314657378452957
axis_lc_vs_1_be_long_r3,BE_LONG_BATCH,1,50,50,154.12167334,166.001802,180.5519605,182.51198161000002,183.001987,118.001281,23.983792303343552,7706.083667,7873.085482,6.350750301684581,6.350750301684581
axis_lc_vs_4_be_chunked_r1,BE_CHUNKED_BATCH,4,200,200,248.26269547,165.001792,996.1608156499999,2213.514033889997,2738.029728,125.001357,349.6860536756724,49652.539094,13323.144657,15.011471026468191,3.752867756617048
axis_lc_vs_4_be_chunked_r2,BE_CHUNKED_BATCH,4,200,200,159.536732135,160.001737,184.00199705,197.01213911,201.002182,128.001389,15.97907839102837,31907.346427,8550.092833,23.39155888788465,5.847889721971162
axis_lc_vs_4_be_chunked_r3,BE_CHUNKED_BATCH,4,200,200,160.336740795,159.0017265,187.05203149999997,226.04245442999996,251.002725,127.001379,18.645335320238956,32067.348159,8484.092115,23.573530000504952,5.893382500126238
be_chunked_alone_r1,BE_CHUNKED_BATCH,1,50,50,147.641603,148.50161250000002,163.10177055,165.51179660999998,166.001802,128.001389,11.215562992525657,7382.08015,7532.081784,6.638270989862635,6.638270989862635
be_chunked_alone_r2,BE_CHUNKED_BATCH,1,50,50,148.18160898,149.501623,164.65178759999998,208.33226250999982,249.002704,116.00126,18.660090888492128,7409.080449,7548.081958,6.624199403002826,6.624199403002826
be_chunked_alone_r3,BE_CHUNKED_BATCH,1,50,50,150.10162982,151.501645,161.5517545,163.51177561,164.001781,123.001336,10.622098601645325,7505.081491,7668.08326,6.5205343114649486,6.5205343114649486
be_long_alone_r1,BE_LONG_BATCH,1,50,50,130.82142058,118.501287,166.5518085,169.55184105,172.001868,104.001129,24.11959956169152,6541.071029,6716.072925,7.444826844252885,7.444826844252885
be_long_alone_r2,BE_LONG_BATCH,1,50,50,143.56155892,155.0016835,170.5518515,171.51186260999998,172.001868,104.001129,24.168178398444983,7178.077946,7334.079635,6.817488013272711,6.817488013272711
be_long_alone_r3,BE_LONG_BATCH,1,50,50,142.34154552,128.5013955,172.001868,173.02187871,174.001889,114.001237,23.340339037754685,7117.077276,7271.07895,6.876558533310933,6.876558533310933
pair1_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,149.64162482,152.00165,164.00178054999998,166.53180831999998,168.001824,124.001346,11.138874751945187,7482.081241,7637.082922,6.547002371280525,6.547002371280525
pair1_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,315.553426245,304.0033015,354.003844,358.0938879799999,371.004029,281.003051,23.965215817383307,63110.685249,16330.177313,12.247264445854213,3.0618161114635534
pair2_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,150.5616347,151.00164,168.5518305,169.51184061,170.001846,124.001346,11.29064611547356,7528.081735,7683.083421,6.507803867303603,6.507803867303603
pair2_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,356.093866365,339.003681,620.0567325500001,660.0571665399999,685.007438,233.00253,93.2777766757595,71218.773273,20014.217312,9.992896393709348,2.498224098427337
pair3_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,149.5816242,151.00164,165.00179155,169.57184127,173.001879,122.001325,12.50987076174564,7479.08121,7637.082921,6.54700237213779,6.54700237213779
pair3_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,316.358434955,305.003312,356.0538665,360.02390921000006,367.003985,173.001878,27.573663874036544,63271.686991,16151.175366,12.38299971784233,3.0957499294605824
