run,lc_request_count,lc_p95_ms,lc_p99_ms,mean_union_overlap_ms,p95_union_overlap_ms,mean_union_overlap_frac,mean_weighted_overlap_ms,p95_weighted_overlap_ms,mean_weighted_overlap_frac,mean_overlap_count,p95_overlap_count,mean_max_concurrent_be,p95_max_concurrent_be,duration_vs_union_overlap_corr,duration_vs_weighted_overlap_corr,slow_request_threshold_ms,slow_request_count,slow_mean_union_overlap_ms,normal_mean_union_overlap_ms,slow_mean_weighted_overlap_ms,normal_mean_weighted_overlap_ms,slow_mean_overlap_count,normal_mean_overlap_count,slow_mean_max_concurrent_be,normal_mean_max_concurrent_be
axis_lc_vs_1_be_long_r1,300,37.000402,848.4292115699996,23.61358969,36.000391,0.6772712033867269,23.61358969,36.000391,0.6772712033867269,0.81,2.0,0.6966666666666667,1.0,0.6852482158698616,0.6852482158698616,37.000402,19,94.5799742631579,18.81515087544484,94.5799742631579,18.81515087544484,1.2105263157894737,0.7829181494661922,0.7894736842105263,0.6903914590747331
axis_lc_vs_1_be_long_r2,300,37.000401,41.000445,21.820236963333333,35.00038,0.7787019910951793,21.820236963333333,35.00038,0.7787019910951793,0.9033333333333333,2.0,0.7966666666666666,1.0,0.6719530323838037,0.6719530323838037,37.000401,16,33.000358375,21.19037096830986,33.000358375,21.19037096830986,1.0625,0.8943661971830986,0.875,0.7922535211267606
axis_lc_vs_1_be_long_r3,300,35.00038,37.020402209999986,21.780236476666666,34.05036955000001,0.7887142369355363,21.780236476666666,34.05036955000001,0.7887142369355363,0.9133333333333333,2.0,0.81,1.0,0.6470671755112533,0.6470671755112533,35.00038,18,31.778122777777778,21.142073521276597,31.778122777777778,21.142073521276597,0.9444444444444444,0.9113475177304965,0.8888888888888888,0.8049645390070922
axis_lc_vs_4_be_chunked_r1,300,37.000402,261.65284133999484,35.38038420666667,37.000402,0.9441666667916653,136.72815140333333,136.20147820000005,3.585697669820042,4.17,6.0,3.66,4.0,0.9982498095557479,0.997984918172408,37.000402,17,227.47305811764704,23.8412483180212,904.7745298235294,90.59108980212014,3.6470588235294117,4.201413427561837,3.6470588235294117,3.6607773851590104
axis_lc_vs_4_be_chunked_r2,300,33.000359,38.000413,23.8469256,33.00035805,0.9427999999146676,89.35763686333333,130.001411,3.5376307881596074,4.13,6.0,3.6166666666666667,4.0,0.6474246466494791,0.5295517217829556,33.000359,16,34.0003693125,23.274900602112677,119.68880006250001,87.64883893661971,3.75,4.151408450704225,3.375,3.630281690140845
axis_lc_vs_4_be_chunked_r3,300,35.05038145000001,40.000435,23.673590336666667,35.00038,0.9061403507940914,89.89097583666667,136.001476,3.441230890617748,4.016666666666667,6.0,3.513333333333333,4.0,0.6011509111989087,0.5713664069400394,35.05038145000001,15,36.60039733333333,22.99323207368421,134.068122,87.56586288070176,3.533333333333333,4.042105263157895,3.2,3.5298245614035086
pair1_chunk1_lc_vs_1_be_chunked,300,32.05034850000001,37.03040232999997,20.596890273333333,32.000347,0.8451145522290815,20.596890273333333,32.000347,0.8451145522290815,0.9866666666666667,2.0,0.8633333333333333,1.0,0.46094765765231877,0.46094765765231877,32.05034850000001,15,34.7337104,19.85284710877193,34.7337104,19.85284710877193,1.2,0.9754385964912281,1,0.856140350877193
pair1_long4_lc_vs_4_be_long,300,98.00106405,103.00111801,47.0038437,98.00106405,0.8319696970110189,181.96197570666666,379.004115,3.2311572242448694,3.81,6.0,3.3066666666666666,4.0,0.8516485559939946,0.840087183937501,98.00106405,15,101.60110293333334,44.130303740350875,393.8709424666667,170.80887219298245,4.866666666666666,3.754385964912281,4,3.270175438596491
pair2_chunk1_lc_vs_1_be_chunked,300,33.000358,37.000402,20.823559393333333,32.000347049999995,0.855510121633136,20.823559393333333,32.000347049999995,0.855510121633136,0.9766666666666667,2.0,0.8733333333333333,1.0,0.4543576594594058,0.4543576594594058,33.000358,16,32.1253488125,20.186838862676055,32.1253488125,20.186838862676055,1.125,0.9683098591549296,0.9375,0.8697183098591549
pair2_long4_lc_vs_4_be_long,300,47.05051150000001,51.020554209999986,42.76379767,47.05051150000001,0.9977700073456818,167.03848038666666,185.15200980000003,3.948944315829918,4.3966666666666665,5.0,4,4.0,0.9942114503837386,0.9965880107241545,47.05051150000001,15,226.9357972,33.0705345368421,853.1425962,130.92773744912282,5.466666666666667,4.340350877192982,4,4
pair3_chunk1_lc_vs_1_be_chunked,300,32.000347,37.000402,20.400221493333333,32.000347,0.8410962652111295,20.400221493333333,32.000347,0.8410962652111295,0.98,2.0,0.86,1.0,0.42546385662365915,0.42546385662365915,32.000347,19,31.73718652631579,19.633665138790036,31.73718652631579,19.633665138790036,1.0526315789473684,0.9750889679715302,0.9473684210526315,0.8540925266903915
pair3_long4_lc_vs_4_be_long,300,42.05045655000001,48.01052111999999,33.62703172333333,42.05045655000001,1.0,133.15811225,168.05182455,3.9601811456956626,4.326666666666667,5.0,4,4.0,1.0000000000000002,0.9948957426840216,42.05045655000001,15,46.40050386666667,32.954743715789476,182.80198506666667,130.5452768385965,4.6,4.312280701754386,4,4
